table_name,module,description_en,description_fr,key_columns,relations,sensitive,notes
C_ALLOCATIONLINE,Finance,Payment allocation line linking customer invoices to payments with allocated amounts discounts write-offs and over-under amounts.,Lignes de lettrage reliant factures client et paiements avec montants affectes remises ecarts et trop peu percu.,C_ALLOCATIONLINE_ID:bigint:Primary allocation line identifier|C_ALLOCATIONHDR_ID:bigint:Parent allocation header|C_INVOICE_ID:bigint:Allocated invoice|C_PAYMENT_ID:bigint:Payment used for the allocation|C_BPARTNER_ID:bigint:Customer business partner|C_ORDER_ID:bigint:Related sales order|DATETRX:timestamp:Allocation transaction date|AMOUNT:numeric:Allocated amount|DISCOUNTAMT:numeric:Discount amount|WRITEOFFAMT:numeric:Write-off amount|OVERUNDERAMT:numeric:Over or under payment amount,C_ALLOCATIONHDR_ID -> C_ALLOCATIONHDR (C_ALLOCATIONHDR_ID)|C_INVOICE_ID -> C_INVOICE (C_INVOICE_ID)|C_PAYMENT_ID -> C_PAYMENT (C_PAYMENT_ID)|C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|C_ORDER_ID -> C_ORDER (C_ORDER_ID),false,Use this table for reliable invoice-payment joins. Do not join C_PAYMENT directly to C_INVOICE because C_PAYMENT.C_INVOICE_ID is empty in this extraction. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
C_ALLOCATIONHDR,Finance,Payment allocation header storing allocation document number dates accounting date status currency and posting state.,En-tete de lettrage paiement avec numero dates statut devise et etat de comptabilisation.,C_ALLOCATIONHDR_ID:bigint:Primary allocation header identifier|DOCUMENTNO:varchar:Allocation document number|DATETRX:timestamp:Allocation transaction date|DATEACCT:timestamp:Accounting date|C_CURRENCY_ID:bigint:Currency identifier|DOCSTATUS:char(2):Allocation document status|POSTED:char(1):Posting state|ISMANUAL:char(1):Manual allocation flag,C_ALLOCATIONHDR_ID -> C_ALLOCATIONLINE (C_ALLOCATIONHDR_ID)|AD_ORG_ID -> AD_ORG (AD_ORG_ID),false,Use for payment allocation dates statuses and accounting context after starting from C_ALLOCATIONLINE.
C_PAYMENT,Finance,Customer payment header storing payment numbers dates amounts receipt flag tender type bank account partner and payment status.,En-tete des paiements client avec numeros dates montants mode banque tiers et statut.,C_PAYMENT_ID:bigint:Primary payment identifier|DOCUMENTNO:varchar:Payment document number|DATETRX:timestamp:Payment date|ISRECEIPT:char(1):Y when payment is a customer receipt|C_DOCTYPE_ID:bigint:Payment document type|TRXTYPE:varchar:Transaction type|TENDERTYPE:varchar:Tender or payment method|C_BANKACCOUNT_ID:bigint:Bank account|C_BPARTNER_ID:bigint:Customer business partner|PAYAMT:numeric:Payment amount|DISCOUNTAMT:numeric:Discount amount|WRITEOFFAMT:numeric:Write-off amount|DOCSTATUS:char(2):Payment document status,C_PAYMENT_ID -> C_ALLOCATIONLINE (C_PAYMENT_ID)|C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|C_DOCTYPE_ID -> C_DOCTYPE (C_DOCTYPE_ID),false,Use with C_ALLOCATIONLINE to answer paid invoices collections payment methods and cash receipt questions. C_INVOICE_ID is empty in C_PAYMENT in this database. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
M_INOUT,Sales,Shipment and delivery header for vente orders storing shipment numbers movement dates statuses partners warehouses and related orders.,En-tete des expeditions et livraisons vente avec numeros dates statuts clients entrepots et commandes liees.,M_INOUT_ID:bigint:Primary shipment or delivery identifier|DOCUMENTNO:varchar:Shipment or delivery document number|ISSOTRX:char(1):Y for sales shipment|DOCSTATUS:char(2):Shipment document status|C_DOCTYPE_ID:bigint:Shipment document type|C_ORDER_ID:bigint:Related sales order|DATEORDERED:timestamp:Original order date|MOVEMENTDATE:timestamp:Shipment movement date|DATEACCT:timestamp:Accounting date|C_BPARTNER_ID:bigint:Customer business partner|M_WAREHOUSE_ID:bigint:Warehouse used for shipment,M_INOUT_ID -> M_INOUTLINE (M_INOUT_ID)|C_ORDER_ID -> C_ORDER (C_ORDER_ID)|C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID)|M_WAREHOUSE_ID -> M_WAREHOUSE (M_WAREHOUSE_ID)|C_DOCTYPE_ID -> C_DOCTYPE (C_DOCTYPE_ID)|AD_ORG_ID -> AD_ORG (AD_ORG_ID),false,Use for delivery counts shipment dates delivered orders and logistics status. Join to M_INOUTLINE for delivered products and quantities. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
M_INOUTLINE,Sales,Shipment and delivery line detail for vente storing delivered products order-line links locators movement quantities and availability flags.,Lignes des expeditions et livraisons vente avec produits liens commande emplacements quantites livrees et disponibilite.,M_INOUTLINE_ID:bigint:Primary shipment line identifier|M_INOUT_ID:bigint:Parent shipment header|LINE:bigint:Shipment line sequence|C_ORDERLINE_ID:bigint:Related sales order line|M_LOCATOR_ID:bigint:Stock locator|M_PRODUCT_ID:bigint:Delivered product|C_UOM_ID:bigint:Unit of measure|MOVEMENTQTY:numeric:Delivered movement quantity|QTYENTERED:numeric:Entered quantity|QTYONHAND:numeric:Stock on hand snapshot on line|QTYRESERVED:numeric:Reserved quantity snapshot on line|DISPONIBILITE:text:Availability indicator from source export,M_INOUT_ID -> M_INOUT (M_INOUT_ID)|C_ORDERLINE_ID -> C_ORDERLINE (C_ORDERLINE_ID)|M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|M_LOCATOR_ID -> M_LOCATOR (M_LOCATOR_ID),false,Use for delivered quantity by product delivered versus ordered analysis delivery detail and availability signals from shipment lines. Current Docker PostgreSQL import covers the 2025-01-01 to 2026-07-01 export window: whole 2025 plus 2026 so far.
M_WAREHOUSE,Inventory,Warehouse reference table describing stock warehouses used by vente orders shipments and storage availability.,Referentiel des entrepots utilises par les commandes livraisons et stocks vente.,M_WAREHOUSE_ID:bigint:Primary warehouse identifier|VALUE:varchar:Warehouse code|NAME:varchar:Warehouse name|DESCRIPTION:varchar:Warehouse description|C_LOCATION_ID:bigint:Warehouse location|SEPARATOR:varchar:Locator separator,M_WAREHOUSE_ID -> C_ORDER (M_WAREHOUSE_ID)|M_WAREHOUSE_ID -> M_INOUT (M_WAREHOUSE_ID)|M_WAREHOUSE_ID -> M_LOCATOR (M_WAREHOUSE_ID)|M_WAREHOUSE_ID -> RV_STORAGE (M_WAREHOUSE_ID),false,Current vente extraction mainly uses Stock siege LPN. Use for warehouse labels and stock location context.
M_LOCATOR,Inventory,Stock locator reference table identifying the exact warehouse locator or storage bin used by shipment lines and stock rows.,Referentiel des emplacements stock dans l'entrepot utilises par livraisons et stock.,M_LOCATOR_ID:bigint:Primary stock locator identifier|VALUE:varchar:Locator name or code|M_WAREHOUSE_ID:bigint:Parent warehouse|PRIORITYNO:bigint:Locator priority|ISDEFAULT:char(1):Default locator flag|X:varchar:Locator X coordinate|Y:varchar:Locator Y coordinate|Z:varchar:Locator Z coordinate,M_LOCATOR_ID -> M_INOUTLINE (M_LOCATOR_ID)|M_LOCATOR_ID -> RV_STORAGE (M_LOCATOR_ID)|M_WAREHOUSE_ID -> M_WAREHOUSE (M_WAREHOUSE_ID),false,Use only when questions need exact stock location. Current vente extraction has one main locator Entrepot.
RV_STORAGE,Inventory,Stock availability view for vente products with product labels warehouse locator on-hand reserved available and ordered quantities.,Vue de disponibilite stock des produits vente avec libelles produit entrepot emplacement stock reserve disponible et commande.,M_PRODUCT_ID:bigint:Product identifier|VALUE:varchar:Product code|NAME:varchar:Product name|M_PRODUCT_CATEGORY_ID:bigint:Product category|M_LOCATOR_ID:bigint:Stock locator|M_WAREHOUSE_ID:bigint:Warehouse|QTYONHAND:numeric:Quantity physically on hand|QTYRESERVED:numeric:Reserved quantity|QTYAVAILABLE:numeric:Available quantity after reservations|QTYORDERED:numeric:Quantity on purchase or replenishment order|DATELASTINVENTORY:timestamp:Last inventory date|M_ATTRIBUTESETINSTANCE_ID:bigint:Attribute set instance,M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|M_PRODUCT_CATEGORY_ID -> M_PRODUCT_CATEGORY (M_PRODUCT_CATEGORY_ID)|M_LOCATOR_ID -> M_LOCATOR (M_LOCATOR_ID)|M_WAREHOUSE_ID -> M_WAREHOUSE (M_WAREHOUSE_ID)|AD_ORG_ID -> AD_ORG (AD_ORG_ID),false,Use for stock availability rupture risk on-hand reserved available and ordered stock questions for products present in the vente extraction.
AD_USER,Reference,ERP user reference used in the vente scope to resolve sales representative identifiers into commercial names and contact metadata.,Referentiel utilisateurs ERP utilise pour relier les identifiants commerciaux aux noms des commerciaux.,AD_USER_ID:bigint:Primary user identifier used as SALESREP_ID in sales tables|NAME:varchar:User or commercial display name|DESCRIPTION:varchar:Optional user description|ISACTIVE:char(1):Whether the user is active|C_BPARTNER_ID:bigint:Related business partner when available|EMAIL:varchar:User email address|CREATED:timestamp:Creation timestamp|UPDATED:timestamp:Last update timestamp,AD_USER_ID -> C_ORDER (SALESREP_ID)|AD_USER_ID -> C_INVOICE (SALESREP_ID)|AD_USER_ID -> V_SALESREP_USER (SALESREP_ID)|C_BPARTNER_ID -> C_BPARTNER (C_BPARTNER_ID),false,Use when the user asks by commercial sales representative vendeur or sales rep. Prefer V_SALESREP_USER for simpler SQL labels.
C_BPARTNER_VENDOR,Reference,Supplier business partner extract containing vendor names codes flags purchasing terms and partner attributes for supplier analytics.,Referentiel fournisseurs extrait depuis les tiers avec noms codes indicateurs et conditions achat.,C_BPARTNER_ID:bigint:Primary supplier business partner identifier|VALUE:varchar:Supplier code|NAME:varchar:Supplier display name|NAME2:varchar:Additional supplier name|ISVENDOR:char(1):Whether partner is a supplier|ISCUSTOMER:char(1):Whether partner is also a customer|C_BP_GROUP_ID:bigint:Supplier group identifier|PAYMENTRULEPO:varchar:Purchase payment rule|PO_PRICELIST_ID:bigint:Purchase price list|PO_PAYMENTTERM_ID:bigint:Purchase payment term|SALESREP_ID:bigint:Responsible user when present,C_BPARTNER_ID -> M_PRODUCT_PO (C_BPARTNER_ID)|C_BPARTNER_ID -> V_PRODUCT_PRIMARY_SUPPLIER (SUPPLIER_ID)|C_BP_GROUP_ID -> C_BP_GROUP (C_BP_GROUP_ID),false,Use this supplier-specific partner table when answering fournisseur vendor editeur/distributeur style supplier questions. Do not use for client rankings unless the user asks for suppliers.
M_PRODUCT_PO,Inventory,Product purchasing and vendor bridge table linking products to suppliers with current vendor flag purchase prices vendor product numbers and availability attributes.,Table pont produit fournisseur avec fournisseur courant prix achat references fournisseur et informations disponibilite.,M_PRODUCT_ID:bigint:Product identifier|C_BPARTNER_ID:bigint:Supplier business partner identifier|ISCURRENTVENDOR:char(1):Current or primary supplier flag|ISACTIVE:char(1):Active vendor product relation|PRICEPO:numeric:Purchase price|PRICELASTPO:numeric:Last purchase order price|PRICELASTINV:numeric:Last invoice price|VENDORPRODUCTNO:varchar:Supplier product reference|VENDORCATEGORY:varchar:Supplier category|DELIVERYTIME_PROMISED:bigint:Promised delivery time,M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|C_BPARTNER_ID -> C_BPARTNER_VENDOR (C_BPARTNER_ID)|M_PRODUCT_ID -> V_PRODUCT_PRIMARY_SUPPLIER (M_PRODUCT_ID),false,Use for fournisseur analytics. To avoid duplicate CA use V_PRODUCT_PRIMARY_SUPPLIER or filter to one ranked supplier per product rather than joining every supplier row.
M_PRODUCT_TYPE,Inventory,Product type reference table used to classify articles beyond category for article-type analysis.,Referentiel type produit permettant de classer les articles au-dela de la categorie.,M_PRODUCT_TYPE_ID:text:Primary product type identifier imported as text in PostgreSQL|VALUE:varchar:Type code|NAME:varchar:Type label|DESCRIPTION:varchar:Type description|ISACTIVE:char(1):Active flag,M_PRODUCT_TYPE_ID -> M_PRODUCT (M_PRODUCT_TYPE_ID),false,Use for type d'article product type article type and product classification questions. Runtime import has M_PRODUCT_TYPE.M_PRODUCT_TYPE_ID as text while M_PRODUCT.M_PRODUCT_TYPE_ID is bigint; join with M_PRODUCT.M_PRODUCT_TYPE_ID::text = M_PRODUCT_TYPE.M_PRODUCT_TYPE_ID. If this join is not possible use product category as fallback only with explanation.
M_PRODUCT_THEME,Inventory,Product theme reference table for book/article thematic grouping used in product enrichment and BI slicing.,Referentiel theme article pour regrouper les livres et articles par theme.,M_PRODUCT_THEME_ID:bigint:Primary product theme identifier|VALUE:varchar:Theme code|NAME:varchar:Theme label|DESCRIPTION:varchar:Theme description|M_PRODUCT_FOND_ID:bigint:Parent product fond identifier,M_PRODUCT_THEME_ID -> M_PRODUCT (M_PRODUCT_THEME_ID),false,Use for thematic product analysis such as ventes par theme or articles par theme.
M_PRODUCT_COLLECTION,Inventory,Product collection reference table for book/article collection grouping and publisher collection analysis.,Referentiel collection article pour analyser les ventes par collection produit.,M_PRODUCT_COLLECTION_ID:bigint:Primary product collection identifier|VALUE:varchar:Collection code|NAME:varchar:Collection label|DESCRIPTION:varchar:Collection description|M_GRCOLL_ID:bigint:Parent collection group|DATE_CREATION:timestamp:Collection creation date,M_PRODUCT_COLLECTION_ID -> M_PRODUCT (M_PRODUCT_COLLECTION_ID),false,Use for collection produit collection article and publisher collection questions.
PRODUCTS_WITHOUT_SUPPLIER,DataQuality,Audit table listing products from the vente extract that have no supplier relationship in M_PRODUCT_PO.,Table de controle listant les produits de vente sans relation fournisseur dans M_PRODUCT_PO.,M_PRODUCT_ID:bigint:Product identifier without supplier|VALUE:varchar:Product code|NAME:varchar:Product display name|M_PRODUCT_CATEGORY_ID:bigint:Product category identifier,M_PRODUCT_ID -> M_PRODUCT (M_PRODUCT_ID)|M_PRODUCT_CATEGORY_ID -> M_PRODUCT_CATEGORY (M_PRODUCT_CATEGORY_ID),false,Use only for data quality questions about missing suppliers or products without fournisseur. Do not use as the main product table.
V_SALESREP_USER,Reference,Simplified sales representative view exposing SALESREP_ID commercial name email description and active flag from AD_USER.,Vue simplifiee des commerciaux exposant identifiant nom email description et statut actif depuis AD_USER.,SALESREP_ID:bigint:Sales representative identifier matching C_ORDER.SALESREP_ID and C_INVOICE.SALESREP_ID|SALESREP_NAME:varchar:Commercial display name|SALESREP_EMAIL:varchar:Commercial email|SALESREP_DESCRIPTION:varchar:Optional commercial description|ISACTIVE:char(1):Active flag,SALESREP_ID -> AD_USER (AD_USER_ID)|SALESREP_ID -> C_ORDER (SALESREP_ID)|SALESREP_ID -> C_INVOICE (SALESREP_ID),false,Preferred object for commercial salesrep vendeur questions because it avoids exposing raw AD_USER details and gives clear French business labels.
